label_id,label_name,is_bone_label,n_baseline,mean_baseline,std_baseline,median_baseline,q25_baseline,q75_baseline,n_follow-up,mean_follow-up,std_follow-up,median_follow-up,q25_follow-up,q75_follow-up,n_patients_paired,median_delta,mean_delta,wilcoxon_stat,wilcoxon_p,mean_difference
25,sacrum,0,358,0.0383639,0.118311,0,0,0.00387254,202,0.0569085,0.13096,0,0,0.0227996,146,0,0.0151658,906,0.0024976,0.0185445
77,hip_left,1,358,0.0321208,0.0936825,0,0,0.00682747,202,0.0504363,0.112689,0,0,0.0257157,146,0,0.0160699,1095,0.00505028,0.0183155
94,rib_left_3,1,357,0.0344157,0.0981924,0,0,0,201,0.0526219,0.118729,0,0,0.00441989,145,0,0.0142599,377,0.00272954,0.0182062
93,rib_left_2,1,357,0.0288928,0.0949238,0,0,0,201,0.0465176,0.111294,0,0,0,145,0,0.00923785,471,0.0194042,0.0176247
38,vertebrae_T6,1,357,0.0522761,0.147178,0,0,0,201,0.0691794,0.150617,0,0,0.0245714,145,0,0.014789,682,0.0068232,0.0169032
28,vertebrae_L4,1,358,0.0470176,0.134382,0,0,0.00211169,202,0.0638091,0.14194,0,0,0.025961,146,0,0.0185119,966,0.00170819,0.0167915
35,vertebrae_T9,1,358,0.0459423,0.124471,0,0,0,202,0.0625574,0.143053,0,0,0.0370096,146,0,0.0168436,880,0.0338868,0.016615
95,rib_left_4,1,357,0.0316373,0.094688,0,0,0,201,0.0481219,0.121735,0,0,0,145,0,0.0194748,395,0.00741886,0.0164846
96,rib_left_5,1,357,0.0332761,0.0956295,0,0,0,202,0.0497176,0.113572,0,0,0.0077062,146,0,0.0154755,427,0.0170322,0.0164414
109,rib_right_6,1,358,0.0362866,0.104733,0,0,0,202,0.0521496,0.122611,0,0,0.0105949,146,0,0.01323,614,0.0913428,0.015863
47,vertebrae_C4,1,356,0.0218606,0.0841916,0,0,0,200,0.0374713,0.111913,0,0,0,145,0,0.0120927,260,0.0437796,0.0156108
97,rib_left_6,1,358,0.032347,0.0950872,0,0,0,202,0.0477533,0.108234,0,0,0.0192532,146,0,0.0185843,478,0.00212611,0.0154062
40,vertebrae_T4,1,357,0.04761,0.132236,0,0,0,201,0.0629382,0.143208,0,0,0.0211685,145,0,0.0130623,682,0.00430752,0.0153282
45,vertebrae_C6,1,356,0.0253018,0.0808641,0,0,0,200,0.0406068,0.112221,0,0,0,145,0,0.0137619,357,0.00249872,0.015305
29,vertebrae_L3,1,358,0.0454253,0.124696,0,0,0.00121546,202,0.0604712,0.13779,0,0,0.0178407,146,0,0.00970284,1276,0.187702,0.0150459
99,rib_left_8,1,358,0.0255388,0.0767794,0,0,0,202,0.0404919,0.0989689,0,0,0.00785316,146,0,0.00990675,452,0.00771308,0.0149531
30,vertebrae_L2,1,358,0.0443169,0.122739,0,0,0,202,0.0590334,0.13685,0,0,0.00657977,146,0,0.0134432,879,0.104349,0.0147165
76,femur_right,1,358,0.0104769,0.0432264,0,0,0,202,0.0251849,0.0877483,0,0,0,146,0,0.0182064,188,5.05324e-06,0.014708
